Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred,File_Name
S-2020-167351,4/01/2020 21:55,Term 1,Emergency Situation,Metropolitan South,Beverly Hills,Structural Fire,,,School play equipment burnt by fire. Emergency services contacted. Assets notified to provide support.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-167468,7/01/2020 13:06,Term 1,Emergency Situation,Metropolitan North,Ryde,Flood,,,A staff member reported that a fire hydrant had been damaged during works being carried out on school grounds causing nearby properties to be flooded. Emergency services were called. The issue has been resolved. Executive staff are aware,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-167631,10/01/2020 13:32,Term 1,Emergency Situation,Metropolitan North,Mount Druitt,Police Operation,,,"A police operation was conducted on school grounds several weeks ago, as the result of an incident involving a student, which occurred off school grounds. Director notified. Media Unit contacted. The school is also managing the matter locally.",1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168065,21/01/2020 9:25,Term 1,Violence,Regional South,Campbelltown,Indecent Assault,,,XXXX students disclosed they were XXXX by another student who also  watched  the students getting changed.  ####,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168069,21/01/2020 9:54,Term 1,Emergency Situation,Metropolitan South & South West,Port Hacking,Severe Storm,,Utility Failure,School and neighbouring property have suffered damage due to a severe storm. School currently without power. Executive director notified. Principal on site. No injuries sustained.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168111,21/01/2020 13:33,Term 1,Emergency Situation,Metropolitan South & South West,Sutherland,Severe Storm,,,School and neighbouring property have sustained damage due to a severe storm yesterday afternoon. All damages have been logged with appropriate agencies.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168112,21/01/2020 13:36,Term 1,Emergency Situation,Metropolitan South & South West,Sutherland,Severe Storm,,,The roof of school property has been damage due to a severe storm causing a water leak. School has currently been made safe. Executive staff are aware. No injuries sustained. The damage has been reported through FMWebb.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168137,21/01/2020 18:33,Term 1,Emergency Situation,Metropolitan North,North Sydney,Structural Fire,,,Employee reports the school hall has been impacted by fire damage. The extent of the damage to the school is unknown at the time of reporting. Fire NSW and NSW Police are on scene and investigating. Executive Director notified. Internal notifications have been made.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168215,22/01/2020 15:19,Term 1,Emergency Situation,Regional South,Batemans Bay,Bushfire,,,Support is required for school employees who have been affected by bushfires in the area. School property has been damaged.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168216,22/01/2020 15:30,Term 1,Emergency Situation,Regional South,Batemans Bay,Bushfire,,,Support is required for school employees who have been affected by bushfires in the area. School property has been damaged.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
S-2020-168217,22/01/2020 15:31,Term 1,Emergency Situation,Regional South,Batemans Bay,Bushfire,,,Support is required for school employees who have been affected by bushfires in the area. School property has been damaged.,1,On workplace grounds,2020-biannual-incident-report-n1.csv
